epoch,train_r2,test_r2
1,-1.3121073246002197,0.1850447654724121
2,0.5174194574356079,0.5342807769775391
3,0.5628728866577148,0.4770716428756714
4,0.5831029415130615,0.6695823073387146
5,0.6176855564117432,0.4658536911010742
6,0.6423567533493042,0.44218891859054565
7,0.6643631458282471,0.5685597658157349
8,0.6889572143554688,0.48865336179733276
9,0.7186280488967896,0.49823659658432007
10,0.7300124168395996,0.5275388956069946
11,0.7407160997390747,0.4564403295516968
12,0.756632387638092,0.6490195393562317
13,0.7657451033592224,0.6480581164360046
14,0.7831593751907349,0.5265577435493469
15,0.7938278913497925,0.6081504821777344
