epoch,train_r2,test_r2
1,0.3179396986961365,0.5503491163253784
2,0.6062949895858765,0.6325263381004333
3,0.6521337032318115,0.6405289173126221
4,0.6867142915725708,0.4616273045539856
5,0.7184613943099976,0.6634929180145264
6,0.7442288398742676,0.6145966053009033
7,0.7696612477302551,0.6225545406341553
8,0.7894696593284607,0.6752331256866455
9,0.8067545890808105,0.6640596389770508
10,0.8148698806762695,0.677178680896759
11,0.8271036744117737,0.6327959895133972
12,0.8320543169975281,0.6959998607635498
13,0.8454260230064392,0.664274275302887
14,0.8524128794670105,0.6887874603271484
15,0.8570351004600525,0.6595717668533325
