epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5448676943778992,0.5466938018798828,0.6339037418365479,0.663658857345581
2,0.6983855962753296,0.6797236800193787,0.6921590566635132,0.6835726499557495
3,0.733923077583313,0.716216504573822,0.7276142835617065,0.6899768114089966
4,0.7608908414840698,0.747742772102356,0.7049829959869385,0.7231687307357788
5,0.78216552734375,0.7698477506637573,0.7385390996932983,0.7433561086654663
6,0.7976638078689575,0.7880002856254578,0.7381275296211243,0.7461432814598083
7,0.8134011030197144,0.8048796653747559,0.7518318891525269,0.7511664628982544
8,0.8245459794998169,0.8192020058631897,0.7551294565200806,0.7419869899749756
9,0.8362477421760559,0.8322180509567261,0.756541907787323,0.7393933534622192
10,0.8451692461967468,0.8426004648208618,0.747137725353241,0.7628000974655151
11,0.853855550289154,0.8525383472442627,0.7362411022186279,0.7402654886245728
12,0.8614659309387207,0.8608667254447937,0.7517150640487671,0.7564775943756104
13,0.8688627481460571,0.8683705925941467,0.7552284002304077,0.7378952503204346
14,0.8744018077850342,0.8744232654571533,0.7594257593154907,0.7457658648490906
15,0.880114734172821,0.8803607821464539,0.7587563991546631,0.7491598129272461
