epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6445105671882629,0.6181175708770752,0.7272922992706299,0.6379276514053345
2,0.7348697185516357,0.7245088815689087,0.7165173292160034,0.7030012607574463
3,0.7716881632804871,0.7595282793045044,0.7597064971923828,0.7407524585723877
4,0.8010373711585999,0.7910666465759277,0.7490161657333374,0.7600191831588745
5,0.8226660490036011,0.8161119222640991,0.7545232176780701,0.7677434682846069
6,0.8429150581359863,0.8387215733528137,0.7766730785369873,0.7700465321540833
7,0.8593556880950928,0.857728123664856,0.7603877186775208,0.7683908343315125
8,0.873045802116394,0.8726818561553955,0.771701455116272,0.7621316313743591
9,0.8848162889480591,0.8855719566345215,0.7795506119728088,0.7710277438163757
10,0.8944070339202881,0.8971813917160034,0.7723127603530884,0.7618457078933716
11,0.9026340842247009,0.9052759408950806,0.774642825126648,0.766697883605957
12,0.9086353778839111,0.9127523899078369,0.7856259346008301,0.7783394455909729
13,0.9152924418449402,0.9175665378570557,0.7732520699501038,0.7721434831619263
14,0.9210793972015381,0.9237489104270935,0.778126060962677,0.7723045945167542
15,0.9251434803009033,0.9275096654891968,0.7818651795387268,0.7789559364318848
