epoch,train_r2,test_r2
1,0.28117966651916504,0.5445778369903564
2,0.572076678276062,0.022662818431854248
3,0.6193591356277466,0.48666250705718994
4,0.6449505090713501,0.5522245168685913
5,0.6876010894775391,0.5398745536804199
6,0.7111025452613831,0.5722224712371826
7,0.7202845811843872,0.564771294593811
8,0.7343961596488953,0.5281094312667847
9,0.7552531957626343,0.5103184580802917
10,0.7713385224342346,0.6730152368545532
11,0.7809023857116699,0.6647316217422485
12,0.7903282642364502,0.6149508953094482
13,0.8005902171134949,0.6465970873832703
14,0.8057710528373718,0.6183629631996155
15,0.8147963285446167,0.6738885641098022
