epoch,train_r2,test_r2
1,0.4867897629737854,0.4981541633605957
2,0.662848174571991,0.5202033519744873
3,0.7196341753005981,0.6017850041389465
4,0.7482707500457764,0.589828610420227
5,0.770480215549469,0.6284492015838623
6,0.786647617816925,0.5551169514656067
7,0.7972918748855591,0.5344305038452148
8,0.8130517601966858,0.6380189657211304
9,0.8214939832687378,0.6808390617370605
10,0.827626645565033,0.6983643174171448
11,0.8404310941696167,0.5957685112953186
12,0.8461684584617615,0.6625553965568542
13,0.8559901714324951,0.6771787405014038
14,0.8649188876152039,0.6529843211174011
15,0.8664727807044983,0.651175856590271
