epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5781344175338745,0.5693260431289673,0.6406857967376709,0.6852986812591553
2,0.6993234753608704,0.6877975463867188,0.7188141345977783,0.6406127214431763
3,0.7411859035491943,0.7301061153411865,0.7271958589553833,0.6905646324157715
4,0.768951952457428,0.7641130685806274,0.7518569827079773,0.7456017136573792
5,0.7905334234237671,0.7861709594726562,0.7621269226074219,0.750811755657196
6,0.8066251277923584,0.8036354184150696,0.7766592502593994,0.7583698034286499
7,0.8213090896606445,0.82041996717453,0.6980292797088623,0.7423477172851562
8,0.8336312770843506,0.8349109888076782,0.7643184661865234,0.7421365976333618
9,0.8456460237503052,0.8459347486495972,0.7703529000282288,0.7676165699958801
10,0.8558647036552429,0.857317328453064,0.7676874995231628,0.773047149181366
11,0.8657286763191223,0.8670573830604553,0.7739889025688171,0.7589834332466125
12,0.8726871013641357,0.8745028972625732,0.7773517370223999,0.7740006446838379
13,0.8789036870002747,0.8819831609725952,0.7676846981048584,0.7642194032669067
14,0.8845305442810059,0.8860073685646057,0.7739819884300232,0.7661840319633484
15,0.8901877403259277,0.8917235136032104,0.7704598903656006,0.7738922834396362
