epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6604358553886414,0.6456626057624817,0.686789333820343,0.6947883367538452
2,0.7436659336090088,0.729769229888916,0.7297823429107666,0.7372705936431885
3,0.7758406400680542,0.7658343315124512,0.7545914649963379,0.7380733489990234
4,0.803646445274353,0.7916567325592041,0.763302743434906,0.7423529028892517
5,0.8246045112609863,0.8159199953079224,0.7612007856369019,0.7672675251960754
6,0.8453525304794312,0.8364299535751343,0.7711830735206604,0.7810068130493164
7,0.8614275455474854,0.8566468954086304,0.7619624733924866,0.7746331691741943
8,0.8743175268173218,0.8696646094322205,0.7760441303253174,0.7722072601318359
9,0.8849222660064697,0.882517397403717,0.7795178294181824,0.7887919545173645
10,0.8935996890068054,0.8922316431999207,0.7851077318191528,0.7805880904197693
11,0.9010040163993835,0.8989769816398621,0.7888729572296143,0.786299467086792
12,0.9072551727294922,0.906294047832489,0.7850663661956787,0.7898939251899719
13,0.9124306440353394,0.9129352569580078,0.7887060642242432,0.7965352535247803
14,0.9167671799659729,0.9166592359542847,0.8039880990982056,0.7963531017303467
15,0.9211590886116028,0.921195387840271,0.7994006872177124,0.7954042553901672
