epoch,train_r2,test_r2
1,0.52559494972229,0.5956737995147705
2,0.6829533576965332,0.6204895973205566
3,0.7237308025360107,0.6310771703720093
4,0.7620380520820618,0.7027816772460938
5,0.7829163670539856,0.7064477205276489
6,0.8051804900169373,0.6930463314056396
7,0.8215365409851074,0.6948999762535095
8,0.8374943733215332,0.7019641399383545
9,0.8451838493347168,0.7011572122573853
10,0.8533702492713928,0.6970535516738892
11,0.8625621795654297,0.7220858931541443
12,0.871088981628418,0.7020092010498047
13,0.8789166212081909,0.713472843170166
14,0.8826872110366821,0.726564884185791
15,0.8891961574554443,0.7000736594200134
